code,name
goe117-il.dat,GOE 117 (MVA MK.4) AIRFOIL
goe118-il.dat,GOE 118 (MVA MK.7) AIRFOIL
goe11k-il.dat,GOE 11K AIRFOIL
goe121-il.dat,GOE 121 (MVA H.1) AIRFOIL
goe122-il.dat,GOE 122 (MVA H.2) AIRFOIL
goe123-il.dat,GOE 123 AIRFOIL
goe124-il.dat,GOE 124 (MVA H.4) AIRFOIL
goe12k-il.dat,GOE 12K AIRFOIL
goe133-il.dat,GOE 133 (MVA H.11) AIRFOIL
goe134-il.dat,GOE 134 (MVA H.12) AIRFOIL
goe137-il.dat,GOE 137 (MVA H.15) AIRFOIL
goe13k-il.dat,GOE 13K AIRFOIL
goe14-il.dat,GOE 14 AIRFOIL
goe140-il.dat,GOE 140 (MVA H.17) AIRFOIL
goe142-il.dat,GOE 142 (MVA H.19) AIRFOIL
goe143-il.dat,GOE 143 (MVA H.20) AIRFOIL
goe144-il.dat,GOE 144 (MVA H.21) AIRFOIL
goe147-il.dat,GOE 147 (MVA H.6) AIRFOIL
goe14k-il.dat,GOE 14K AIRFOIL
goe15-il.dat,GOE 15 AIRFOIL
goe155-il.dat,GOE 155 (SSW D.1) AIRFOIL
goe15k-il.dat,GOE 15K AIRFOIL
goe164-il.dat,GOE 164 (MVA MK.10) AIRFOIL
goe165-il.dat,GOE 165 (MVA MK.11) AIRFOIL
goe167-il.dat,GOE 167 (V.KARMAN PROP.2) AIRFOIL
goe16k-il.dat,GOE 16K AIRFOIL
goe173-il.dat,GOE 173 (ALBATROS 6020) AIRFOIL
goe174-il.dat,GOE 174 (ALBATROS 5020) AIRFOIL
goe176-il.dat,GOE 176 (ALBATROS 7020) AIRFOIL
goe177-il.dat,GOE 177 AIRFOIL
goe178-il.dat,GOE 178 AIRFOIL
